id,first_name,last_name,team,position,age,exp,pos,avg_type,points,pos_rank,drop_off,sd_pts,floor,ceiling,tier
0529,New Orleans,Saints,NOS,DST,,49,DST,weighted,7.046184,4,0.431790571428571,1.03654335280662,5.32,7.92869565217391,2
0530,San Francisco,49ers,SFO,DST,,49,DST,average,6.3174,20,0.117299999999999,1.71871545056184,3.932,7.7216,5
0530,San Francisco,49ers,SFO,DST,,49,DST,robust,6.651,6,0.0164999999999989,1.7376072,3.932,7.7216,5
0530,San Francisco,49ers,SFO,DST,,49,DST,weighted,6.01460232980333,24,0.0435907715582449,1.81805951346024,3.6,7.5767988372093,5
0531,Baltimore,Ravens,BAL,DST,,49,DST,average,6.35966666666667,15,0.0177666666666658,1.11243276950415,4.8625,7.581,9
0531,Baltimore,Ravens,BAL,DST,,49,DST,robust,6.485,12,0.0299999999999994,1.149015,4.8625,7.581,9
0531,Baltimore,Ravens,BAL,DST,,49,DST,weighted,6.182324,17,0.00295371428571478,1.10975005777045,4.6,7.36766569767442,9
0532,Houston,Texans,HOU,DST,,49,DST,average,5.739,29,0.183833333333333,0.977868430141124,4.6325,6.911,16
0532,Houston,Texans,HOU,DST,,49,DST,robust,5.66,29,0.38,0.9740682,4.6325,6.911,16
0532,Houston,Texans,HOU,DST,,49,DST,weighted,5.76577771428571,29,0.218058285714286,1.0738251184864,4.6,6.89067278287462,16
4397,Roosevelt,Nix,PIT,RB,27,5,RB,average,0.625355386981271,162,0.0176249606246814,0.365542433375896,0.0448678571428571,0.80901645244216,
4397,Roosevelt,Nix,PIT,RB,27,5,RB,robust,0.643933793150937,160,0.0124920329263974,0.1719816,0.0448678571428571,0.80901645244216,
4397,Roosevelt,Nix,PIT,RB,27,5,RB,weighted,0.596264837112396,119,0.0150484391713389,0.406234230734276,0,0.807829713870571,
4925,Drew,Brees,NOS,QB,40,18,QB,average,20.8791247954081,14,0.0443898952048691,0.989350560941776,19.0358424755197,21.2765,3
4925,Drew,Brees,NOS,QB,40,18,QB,robust,20.7003646825397,15,0.164656232409214,0.311808466645185,19.0358424755197,21.2765,3
4925,Drew,Brees,NOS,QB,40,18,QB,weighted,20.476748837424,14,0.0746177611532062,0.910371714448124,19.0325731242199,20.7497,3
5848,Tom,Brady,NEP,QB,42,19,QB,average,20.7909935621689,16,0.354054740114265,2.51406752404786,17.150835,23.3819737308869,4
5848,Tom,Brady,NEP,QB,42,19,QB,robust,20.3474587304641,19,0.0912669473380276,2.14836839906794,17.150835,23.3819737308869,4
5848,Tom,Brady,NEP,QB,42,19,QB,weighted,20.2269765401157,17,0.351972680386179,1.98737586809382,16.8225,21.7054367315831,4
6589,Josh,McCown,PHI,QB,40,17,QB,average,0.708272008547009,73,0.0477053418803418,0.578715934120277,0.00892222222222222,1.2528,8
6589,Josh,McCown,PHI,QB,40,17,QB,robust,0.696452777777778,72,0.0319277777777778,0.656016286153846,0.00892222222222222,1.2528,8
6589,Josh,McCown,PHI,QB,40,17,QB,weighted,0.49775074067846,61,0.0848700499906723,0.448081077072222,0,0.854690071556351,8
6997,Jason,Witten,DAL,TE,37,16,TE,average,8.49761904761905,18,0.20264880952381,4.40295612277111,5.792,15.2535,3
6997,Jason,Witten,DAL,TE,37,16,TE,robust,7.24125,24,0.55575,1.55673,5.792,15.2535,3
6997,Jason,Witten,DAL,TE,37,16,TE,weighted,7.01076586732254,24,0.542208301004867,0.935806180530117,5.75,8.00760638297872,3
7391,Eli,Manning,NYG,QB,38,15,QB,average,16.8451720876472,34,0.439700486012601,3.27452479528115,10.6198,19.0188077922078,7
7391,Eli,Manning,NYG,QB,38,15,QB,robust,16.2655754613807,36,0.0704643502696136,3.46339210909091,10.6198,19.0188077922078,7
7391,Eli,Manning,NYG,QB,38,15,QB,weighted,16.1760248462515,31,4.19224693696337,2.9335603399467,9.97,17.3552667217253,7
7393,Larry,Fitzgerald,ARI,WR,36,15,WR,average,11.7400714285714,36,0.273879365079367,1.2837445785113,10.4868,13.56,7
7393,Larry,Fitzgerald,ARI,WR,36,15,WR,robust,11.73,36,0.414022789581907,1.6367904,10.4868,13.56,7
7393,Larry,Fitzgerald,ARI,WR,36,15,WR,weighted,11.7083630183781,36,0.238004523686687,1.5769875038466,10.44,13.5898255813954,7
7394,Philip,Rivers,LAC,QB,38,15,QB,average,20.5138776441093,17,0.156061529243015,2.74040814025755,16.4128444444444,23.2385,4
7394,Philip,Rivers,LAC,QB,38,15,QB,robust,19.8566002797294,23,0.863321250387145,1.62001481581694,16.4128444444444,23.2385,4
7394,Philip,Rivers,LAC,QB,38,15,QB,weighted,19.6920232225108,19,0.626894064010841,1.46245726892987,16.0622222222222,19.9080890124902,4
7401,Ben,Roethlisberger,PIT,QB,37,15,QB,average,19.8762279594816,22,0.691504116661129,2.24550967696237,15.33535,20.9751903483599,4
7401,Ben,Roethlisberger,PIT,QB,37,15,QB,robust,20.1729569453196,21,0.241453302098634,1.90751559798561,15.33535,20.9751903483599,4
7401,Ben,Roethlisberger,PIT,QB,37,15,QB,weighted,20.547476582804,13,0.102886070335384,1.51256756467211,17.481,21.0021725780522,4
7422,Ben,Watson,NEP,TE,39,15,TE,average,0,103,,,0,0,12
7422,Ben,Watson,NEP,TE,39,15,TE,robust,0,102,,0,0,0,12
7422,Ben,Watson,NEP,TE,39,15,TE,weighted,0,102,,,0,0,12
