id,first_name,last_name,team,position,age,exp,pos,avg_type,points,pos_rank,drop_off,sd_pts,floor,ceiling,tier,points_vor,rank,floor_vor,floor_rank,ceiling_vor,ceiling_rank,points_wk1,points_wk2,points_wk3
12934,Chester,Rogers,IND,WR,25,3,WR,average,48.9727341412866,125,0.571459295147967,23.1639073687187,22.7396,71.9281073130292,10,-105.948715674308,411,-100.515910073719,430,-112.085278497194,401,3.72375,3.427,3.7635
12934,Chester,Rogers,IND,WR,25,3,WR,robust,49.3234024238596,118,0.699994815163969,31.075296,22.7396,71.9281073130292,10,-105.37289621685,404,-100.515910073719,430,-112.085278497194,401,3.72375,3.427,3.7635
12934,Chester,Rogers,IND,WR,25,3,WR,weighted,53.7493195567167,120,2.74793797119918,23.1428331787328,20.927,71.9069588733695,10,-103.371418023274,404,-110.578767433165,398,-106.785813034892,374,3.72375,3.427,3.7635
12949,Tanner,McEvoy,TEN,WR,26,3,WR,average,0,233,0,,0,0,15,-154.921449815594,630,-123.255510073719,577,-184.013385810224,654,,,
12949,Tanner,McEvoy,TEN,WR,26,3,WR,robust,0,233,0,0,0,0,15,-154.696298640709,629,-123.255510073719,577,-184.013385810224,654,,,
12949,Tanner,McEvoy,TEN,WR,26,3,WR,weighted,0,229,0,,0,0,15,-157.120737579991,623,-131.505767433165,488,-178.692771908261,649,,,
12955,Chris,Manhertz,CAR,TE,27,3,TE,average,12.0128,109,0.443875,9.64769908320113,0.925,23.6725,11,-103.536142629429,397,-94.3099671022291,388,-121.511220627677,427,0.39425,0.39525,0.34825
12955,Chris,Manhertz,CAR,TE,27,3,TE,robust,10.2985,112,0.486625,8.146887,0.925,23.6725,11,-102.614927679117,390,-94.3099671022291,388,-121.511220627677,427,0.39425,0.39525,0.34825
12955,Chris,Manhertz,CAR,TE,27,3,TE,weighted,11.4752889561271,111,1.05149036599616,10.5771264391919,0,22.3971186046512,11,-103.481867988134,406,-97.4796666666667,356,-121.344861557798,423,0.39425,0.39525,0.34825
13044,Matt,Lengel,FA,TE,29,4,TE,average,4.6145,124,0.478749999999999,2.99035457763791,2.71145,6.51755,12,-110.934442629429,432,-92.5235171022291,363,-138.666170627677,480,,,
13044,Matt,Lengel,FA,TE,29,4,TE,robust,4.6145,124,0.24175,3.1349577,2.71145,6.51755,12,-108.298927679117,422,-92.5235171022291,363,-138.666170627677,480,,,
13044,Matt,Lengel,FA,TE,29,4,TE,weighted,4.59820955315871,122,0.371218755612693,2.99035457763791,2.5,6.30281661490683,12,-110.358947391102,430,-94.9796666666667,337,-137.439163547542,472,,,
13057,Tra,Carson,GBP,RB,27,3,RB,average,3.9754675704557,214,0.250384237122364,3.07106162868584,0.100410406705064,5.73455,,-163.368244562328,668,-139.663756259962,668,-188.321368341642,669,0.132418604651163,0.13496511627907,0.13496511627907
13057,Tra,Carson,GBP,RB,27,3,RB,robust,4.35085067784177,213,0.296850677841774,3.78848577006357,0.100410406705064,5.73455,,-162.060378599236,664,-139.663756259962,668,-188.321368341642,669,0.132418604651163,0.13496511627907,0.13496511627907
13057,Tra,Carson,GBP,RB,27,3,RB,weighted,3.05468210572733,172,0.0626821057273341,2.95115462320517,0,4.69389913730188,,-132.378252387976,523,-133.638333333333,503,-181.769010946031,668,0.132418604651163,0.13496511627907,0.13496511627907
13065,Eric,Tomlinson,NYJ,TE,27,4,TE,average,17.2571666666667,95,0.584266666666668,9.27114190583313,1.7265,23.1406,11,-98.2917759627624,368,-93.5084671022291,375,-122.043120627677,430,0.961,1.07775,1.07575
13065,Eric,Tomlinson,NYJ,TE,27,4,TE,robust,17.874,90,0.130750000000003,5.5271328,1.7265,23.1406,11,-95.0394276791174,353,-93.5084671022291,375,-122.043120627677,430,0.961,1.07775,1.07575
